production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
97000000,183124621,2002,2.35,216,47657,100000000,7.5,9496870,1504
95000000,879765137,2012,2.35,88,25354,95000000,6.6,46629259,3881
95000000,159691085,2001,2.35,152,4270,92000000,7.7,193021,4
95000000,223050874,2010,2.35,118,14024,95000000,5.9,38661634,3356
95000000,169511609,2010,2.35,98,25780,100000000,6.8,22688457,3207
95000000,263900000,1997,2.35,126,39319,93000000,7.7,17031345,2500
95000000,65700000,2000,1.85,89,3372,95000000,6.9,12846652,3218
95000000,94894448,2009,2.35,135,2370,65000000,6.7,116616,3
95000000,110623265,2014,2.35,102,17098,95000000,5.5,7217640,2875
94000000,936429370,2003,1.85,100,5641,94000000,8.2,16687773,2904
94000000,1141408667,2003,2.35,192,6434,94000000,8.9,72629713,3703
94000000,934703179,2002,2.35,172,23052,94000000,8.7,727645,126
94000000,273330185,2001,2.35,100,12150,115000000,5.7,47735743,3308
93000000,365900000,2001,1.85,92,2574,93000000,5.9,50771645,3434
93000000,482860185,2011,2.35,105,13118,93000000,7.6,54806191,3648
92500000,162839667,2008,2.35,107,1614,90000000,6.6,24740537,3847
92000000,614726752,2004,2.35,115,1901,92000000,8,70467623,3933
92000000,304249198,2013,1.85,101,15481,92000000,5.3,24834845,3553
91000000,188536838,2013,2.35,114,5095,90000000,7.3,13000000,2909
90000000,587790539,1997,1.85,98,12998,90000000,7.3,51068455,3020
90000000,511358276,1999,1.85,82,21275,90000000,7.9,57388839,3236
90000000,347425832,2001,2.35,90,664,90000000,6.6,67408222,3118
90000000,498438212,2009,1.85,128,23996,90000000,7.6,62304277,3626
90000000,859701857,2009,1.85,94,1258,90000000,7,41690382,4099
90000000,288693989,2000,2.35,130,12890,100000000,6.6,29702959,2813
90000000,487519809,2011,2.35,96,12071,90000000,7,39225962,3827
90000000,289660619,2006,2.35,151,45648,90000000,8.5,26887467,3017
90000000,259736090,2000,2.35,94,15419,92000000,5.5,40128550,3037
90000000,303500000,1998,1.66,88,4478,90000000,7.5,22745143,2888
90000000,191091250,2008,2.35,121,23484,92000000,7,25812796,3319
90000000,239373970,2011,2.35,158,20388,90000000,7.8,12750000,2914
90000000,165900000,1997,2.35,150,12289,90000000,7.4,20584908,1923
90000000,202910991,2008,1.85,113,13446,90000000,5.5,38531374,3462
90000000,235296080,2015,1.85,92,38450,90000000,5,14287159,3653
90000000,186049020,2001,2.35,95,15237,120000000,6.8,329011,2
90000000,203902107,2008,1.85,121,14165,75000000,7.1,21027007,2711
90000000,244126300,2015,2.35,106,35367,88000000,5.6,24011616,3723
90000000,235900000,2001,1.85,146,6217,100000000,7.1,29352630,3242
90000000,155750628,2003,2.35,88,2622,90000000,4.9,24278410,3122
90000000,191200000,2000,1.85,119,2356,95000000,5.7,26414386,2956
90000000,162753837,2005,2.35,128,2100,80000000,6.4,22822455,2758
90000000,200859554,2013,2.35,106,10882,90000000,5.9,14401054,3031
90000000,157092943,2003,2.35,117,33154,95000000,5.5,21783641,3222
90000000,313404841,2016,2.35,129,23031,90000000,6.9,22383146,3232
90000000,143049560,2001,2.35,114,12499,92000000,7,21689125,2770
90000000,169400000,1997,2.35,116,475,68000000,6.2,16278873,2307
90000000,106000000,2000,2.35,114,4902,90000000,5.6,22855247,3054
90000000,87420776,1999,1.85,132,55254,100000000,6.8,8234926,2518
90000000,120100000,1997,1.85,104,5062,90000000,5.4,14581740,2774
90000000,140900000,1997,2.35,111,26088,86000000,6.1,18063265,2504
90000000,65716126,2002,2.35,138,15149,100000000,6.7,12778459,2828
90000000,139877913,2011,2.35,110,27694,75000000,5.8,8674452,3017
90000000,20466016,2010,2.35,110,2728,90000000,4.4,65894,45
88000000,105021488,2005,2.35,144,2523,88000000,8,18320205,2812
86000000,148715342,2003,2.35,140,13808,87000000,7.3,20854735,1987
85000000,427230516,2000,1.85,143,15838,90000000,7.7,28883406,2774
85000000,450728529,2001,2.35,116,13028,85000000,7.8,38107822,3075
85000000,288587450,2004,2.35,108,14161,75000000,7.8,52521865,3165
85000000,315268353,1997,2.35,124,23603,85000000,6.4,37132505,2919
85000000,276014965,2014,2.35,139,22226,85000000,6.7,54607747,3936
85000000,378505812,2012,1.85,91,37142,85000000,7.1,42522194,3349
85000000,340384141,2007,2.35,107,662,85000000,7.1,34440317,3730
85000000,208542162,2012,2.35,115,36237,85000000,6.8,40172720,3119
85000000,311744465,2007,2.35,122,43499,85000000,6.9,36133403,3565
85000000,224614744,2009,1.85,120,15226,85000000,6.6,22100822,2887
85000000,250649836,1998,2.35,140,11951,90000000,7.3,20038573,2393
85000000,191932158,2006,1.85,83,6081,85000000,6.2,23624548,3833
85000000,153487972,2011,2.35,104,3768,75000000,6.2,24025190,3367
85000000,66941559,2000,1.85,100,4182,85000000,4.8,19883351,2704
85000000,173613482,2012,1.85,106,11454,85000000,5.6,18132085,3603
85000000,157794205,2006,2.35,104,1235,85000000,6,23973840,3027
85000000,96971293,2001,2.35,131,5103,68000000,7.6,13810266,1509
85000000,80831893,2003,2.35,104,16930,85000000,6.7,18533765,3152
85000000,149717124,2011,1.85,97,2707,100000000,7.1,12068931,3376
85000000,114979922,2010,1.85,82,3326,85000000,4.3,12279363,3705
85000000,44650003,1998,1.85,178,23950,90000000,7.1,15017995,2503
85000000,78353508,2002,1.85,108,1460,85000000,5.5,15058432,2824
85000000,48056764,2010,1.85,112,12687,60000000,7.5,10609795,2818
85000000,74132631,2003,2.35,135,1439,60000000,5.4,12053131,3017
84000000,276294164,2002,1.85,86,6355,84000000,4.9,54155312,3447
84000000,166307945,2000,1.85,109,2818,65000000,4.3,42518830,3242
84000000,137162560,2013,2.35,116,25220,84000000,6.7,18048422,3016
82500000,237685089,2006,1.85,107,12700,70000000,6.4,40011365,3749
82500000,143985708,2006,1.85,97,23907,53172536.85,6.4,11457353,3566
82500000,223636949,2008,2.35,88,21863,85000000,6.1,32092991,3428
